OBJECTID,PARK_ID,NAME,NAME_FR,ADDRESS,ADDRESS_FR,PARK_TYPE,PARK_TYPE_FR,DOG_DESIGNATION,DOG_DESIGNATION_FR,WATERBODY_ACCESS,WARD,WARD_NAME,WARD_NAME_FR,PARK_DEDICATION_STATUS,ACCESSIBLE,OPEN,LATITUDE,LONGITUDE,SAP_FLOC,MODIFIED_DATE,CREATED_DATE,DOG_DESIGNATION_DETAILS,DOG_DESIGNATION_DETAILS_FR,Shape_Length,Shape_Area,SAP_ID,PARK_CATEGORY,PARK_CATEGORY_FR
292,2073,Recreational Trail,Sentier récréatif,"34 Edgeware Drive, Nepean","34, promenade Edgeware, Nepean",Passive Recreation,Loisirs passifs,4,4,no/non,24,Barrhaven East,Barrhaven-Est,7,no/non,,45.27701919,-75.74712593,R-PKS-005-0276,1668471251000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,931.9734209987337,3050.3746336149998,276,Greenspace,Espace vert
293,1578,Open Space,Espace ouvert,"41 Warrington Drive, Ottawa","41, promenade Warrington, Ottawa",Passive Recreation,Loisirs passifs,4,4,yes/oui,17,Capital,Capitale,5,no/non,,45.38923993,-75.68180989,R-PKS-023-0987,1668470924000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,56.549185726011466,97.73061725,987,Greenspace,Espace vert
294,1171,Kars Community Park,Parc Communautaire de Kars,1604 Old Wellington Street,1604 rue Old Wellington,Active Recreation,Loisirs dynamiques,4,4,yes/oui,21,Rideau-Jock,Rideau-Jock,0,no/non,,45.14923676,-75.64988061,R-PKS-011-0483,1737552780000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,2344.3691380961172,123993.074368005,483,Community Park,Parc communautaire
295,1538,Huntley Curling Club,Club de curling Huntley,"3806 Carp Road, West Carleton","3806, chemin Carp, West Carleton",Active Recreation,Loisirs dynamiques,4,4,no/non,5,West Carleton-March,West Carleton-March,0,no/non,,45.34827602,-76.03563821,R-PKS-008-0445,1668471072000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,633.757177631296,12149.379625565001,445,Community Park,Parc communautaire
296,1714,Deer Run Park,Parc Deer Run,"272 West Ridge Drive, Goulbourn","272, promenade West Ridge, Goulbourn",Active Recreation,Loisirs dynamiques,0,0,no/non,6,Stittsville,Stittsville,0,no/non,,45.2501879,-75.92655908,R-PKS-004-0246,1668470808000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,565.8906789651196,6876.8532083850005,246,Parkette,Miniparc
297,2114,Recreational Trail,Sentier récréatif,"411 Cloverdale Road, Rockcliffe Park","411, chemin Cloverdale, Rockcliffe Park",Passive Recreation,Loisirs passifs,4,4,no/non,13,Rideau-Rockcliffe,Rideau-Rockcliffe,7,no/non,,45.45131828,-75.67448547,R-PKS-003-0200,1668472451000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,263.6227103999026,1411.95796953,200,Greenspace,Espace vert
298,1593,Open Space,Espace ouvert,"233 Wagon Drive, West Carleton","233, promenade Wagon, West Carleton",Passive Recreation,Loisirs passifs,4,4,no/non,5,West Carleton-March,West Carleton-March,5,no/non,,45.48057619,-76.03330354,R-PKS-023-0980,1668471860000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,3830.475005858304,70199.028517635,980,Greenspace,Espace vert
299,542,Pickford Park,Parc Pickford,50 Pickford Drive,"50, promenade Pickford",Active Recreation,Loisirs dynamiques,1,1,no/non,23,Kanata South,Kanata-Sud,0,no/non,,45.3085253,-75.88307914,R-PKS-016-0732,1668471739000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,1538.943438475189,24212.168017935,732,Neighbourhood Park,Parc de quartier
300,360,Entrance Park,Parc Entrance,"2 Eaton Street, Nepean","2, rue Eaton, Nepean",Active Recreation,Loisirs dynamiques,1,1,no/non,8,College,Collège,0,no/non,,45.32611967,-75.81709908,R-PKS-005-0289,1668471577000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,644.9807716646479,8825.68494925,289,Parkette,Miniparc
301,397,Weybridge Park,Parc Weybridge,"75 Flanders Street, Nepean","75, rue Flanders, Nepean",Active Recreation,Loisirs dynamiques,3,3,no/non,3,Barrhaven West,Barrhaven-Ouest,0,yes/oui,,45.26993707,-75.76937346,R-PKS-023-1007,1668471110000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,1913.4810769339647,42858.986940255,1007,Community Park,Parc communautaire
302,582,Larkin Park,Parc Larkin,"76 Larkin Drive, Nepean","76, promenade Larkin, Nepean",Active Recreation,Loisirs dynamiques,3,3,no/non,3,Barrhaven West,Barrhaven-Ouest,0,no/non,,45.28233428,-75.76199299,R-PKS-012-0519,1668471283000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,997.3075874958142,30568.383905155002,519,Community Park,Parc communautaire
303,1636,Palmadeo Park,Parc Palmadeo,"80 Palmadeo Drive, Nepean","80, promenade Palmadeo, Nepean",Passive Recreation,Loisirs passifs,4,4,no/non,24,Barrhaven East,Barrhaven-Est,0,no/non,,45.28000447,-75.73236082,R-PKS-016-0704,1668472070000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,394.2597091094022,4844.35514733,704,Parkette,Miniparc
304,2052,Woodlot,Terrain boisé,"3050 Innes Road, Gloucester","3050, chemin Innes, Gloucester",Passive Recreation,Loisirs passifs,4,4,no/non,2,Orléans West-Innes,Orléans-Ouest-Innes,9,no/non,,45.43773915,-75.54356311,R-PKS-009-0450,1668470937000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,2126.114235199712,42299.565347095,450,Greenspace,Espace vert
305,1624,Recreational Trail,Sentier récréatif,"70 Manning Court, Kanata","70, cour Manning, Kanata",Passive Recreation,Loisirs passifs,1,1,no/non,4,Kanata North,Kanata-Nord,7,no/non,,45.32625895,-75.92608996,R-PKS-013-0569,1668472180000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,1228.46849542154,8471.174155825,569,Greenspace,Espace vert
306,383,Mowat Farm Park,Parc de la ferme Mowat,"100 Fable Street, Nepean","100, rue Fable, Nepean",Active Recreation,Loisirs dynamiques,1,1,no/non,3,Barrhaven West,Barrhaven-Ouest,0,no/non,,45.27793467,-75.7661412,R-PKS-013-0634,1668471507000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,1350.740669370821,35257.09243162,634,Community Park,Parc communautaire
307,1107,Topley Park,Parc Topley,"32 Topley Crescent, Ottawa","32, croissant Topley, Ottawa",Passive Recreation,Loisirs passifs,1,1,no/non,10,Gloucester-Southgate,Gloucester-Southgate,0,no/non,,45.37452981,-75.61950301,R-PKS-020-0938,1668470741000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,204.3592131052288,1123.6178404850002,938,Urban Plaza,Place urbaine
308,1528,Willand Lane Woods,Boisé de la ruelle Willand,"132 Willand Lane, West Carleton","132, ruelle Willand, West Carleton",Passive Recreation,Loisirs passifs,4,4,no/non,5,West Carleton-March,West Carleton-March,0,no/non,,45.47848231,-76.08089176,R-PKS-023-1017,1668471386000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,660.3308714805465,12007.641263815,1017,Woodland Park,Parc boisé
309,1293,Whitewood Avenue Park,Parc de l'avenue Whitewood,"5490 Whitewood Avenue, Rideau","5490, avenue Whitewood, Rideau",Active Recreation,Loisirs dynamiques,4,4,no/non,21,Rideau-Jock,Rideau-Jock,0,no/non,,45.2259209,-75.69220235,R-PKS-023-1013,1668472345000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,417.8203209603977,5214.075117775,1013,Parkette,Miniparc
310,1689,Oldfield Park,Parc Oldfield,"49 Oldfield Street, Nepean","49, rue Oldfield, Nepean",Active Recreation,Loisirs dynamiques,1,1,no/non,24,Barrhaven East,Barrhaven-Est,0,no/non,,45.2805372,-75.71168214,R-PKS-015-0684,1668471456000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,567.8810407009618,9070.09559197,684,Parkette,Miniparc
311,1566,Winterwood Park,Parc Winterwood,1844 Johnston Road,"1844, chemin Johnston",Active Recreation,Loisirs dynamiques,4,4,no/non,10,Gloucester-Southgate,Gloucester-Southgate,0,no/non,,45.36838275,-75.62783739,R-PKS-023-1023,1737557880000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,1426.0254552078786,35166.276472595004,1023,Community Park,Parc communautaire
312,1148,Voyageur Park,Parc Voyageur,"6137 / 6138 Voyageur Drive, Gloucester","6137 / 6138, promenade Voyageur, Gloucester",Active Recreation,Loisirs dynamiques,1,1,no/non,2,Orléans West-Innes,Orléans-Ouest-Innes,0,no/non,,45.47663352,-75.55414476,R-PKS-022-0976,1668472298000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,2011.6973091284292,18610.00193701,976,Linear Park,Parc linéaire
313,850,Beryl Gaffney Park,Parc Beryl-Gaffney,"3901 Rideau Valley Drive, DR Nepean","3901, promenade Rideau Valley, Nepean",Passive Recreation,Loisirs passifs,0,0,yes/oui,3,Barrhaven West,Barrhaven-Ouest,0,no/non,,45.25187328,-75.70744774,R-PKS-002-0090,1668471361000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,7641.535373425763,412352.53050533,90,Community Park,Parc communautaire
314,506,Richmond Lions Community Park,Parc communautaire Lions de Richmond,"3302 Huntley Road, Goulbourn","3302, chemin Huntley, Goulbourn",Active Recreation,Loisirs dynamiques,3,3,no/non,21,Rideau-Jock,Rideau-Jock,0,no/non,,45.1979194,-75.84316968,R-PKS-012-0543,1668472431000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,2002.6364486811783,80316.146137265,543,Community Park,Parc communautaire
315,1660,Totteridge Park,Parc Totteridge,"11 Totteridge Avenue, Nepean","11, avenue Totteridge, Nepean",Active Recreation,Loisirs dynamiques,4,4,no/non,24,Barrhaven East,Barrhaven-Est,0,no/non,,45.28244532,-75.73649724,R-PKS-020-0940,1668470682000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,510.79615010598053,8207.61624433,940,Parkette,Miniparc
316,1612,Bannockburn Park,Parc Bannockburn,"1557 Landel Drive, Kanata","1557, promenade Landel, Kanata",Active Recreation,Loisirs dynamiques,4,4,no/non,5,West Carleton-March,West Carleton-March,0,no/non,,45.36132512,-75.97826272,R-PKS-002-0052,1668471177000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,1217.7019210335397,39038.04122417,52,Neighbourhood Park,Parc de quartier
317,1964,Calaveras Park,Parc Calaveras,"213 Calaveras Avenue, Nepean","213, avenue Calaveras, Nepean",Passive Recreation,Loisirs passifs,4,4,no/non,24,Barrhaven East,Barrhaven-Est,0,no/non,,45.27730392,-75.73879042,R-PKS-003-0140,1668470794000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,399.21667001493324,4824.66235126,140,Parkette,Miniparc
318,1889,Rodeo Park,Parc Rodeo,"175 Rodeo Drive, Nepean","175, promenade Rodeo, Nepean",Active Recreation,Loisirs dynamiques,4,4,no/non,24,Barrhaven East,Barrhaven-Est,0,no/non,,45.27504119,-75.74246802,R-PKS-018-0823,1668471423000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,341.0688230638713,3599.79928205,823,Urban Parkette,Miniparc urbain
319,1605,St. Joseph Boulevard Woods,Boisé boulevard St. Joseph,551 Princess Louise Drive,"551, promenade Princess Louise",Active Recreation,Loisirs dynamiques,4,4,yes/oui,1,Orléans East-Cumberland,Orléans-Est-Cumberland,9,no/non,,45.48557572,-75.49273923,R-PKS-019-1394,1668470797000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,5222.301350614531,78978.20230849,1394,Greenspace,Espace vert
320,9,Metcalfe Community Centre,Centre communautaire de Metcalfe,2785 8th Line Road,"2785, chemin 8th Line",Active Recreation,Loisirs dynamiques,4,4,no/non,20,Osgoode,Osgoode,0,no/non,,45.23004424,-75.46864002,R-PKS-013-0611,1668471359000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,679.0412274091073,12562.670475515,611,Community Park,Parc communautaire
321,2699,Papichi Park,Parc Papichi,115 Spencer Street,"115, rue Spencer",Active Recreation,Loisirs dynamiques,,,,15,KITCHISSIPPI,KITCHISSIPPI,2,yes/oui,no/non,,,R-PKS-019-1500,1758202020000,,,,140.96795273196105,396.94931375,1500,,
322,2698,Rolla Law Crain Park,Parc Rolla Law Crain,375 Byron Avenue ,"375, avenue Byron",Active Recreation,Loisirs dynamiques,,,,15,KITCHISSIPPI,KITCHISSIPPI,0,yes/oui,yes/oui,,,R-PKS-018-1494,1746133500000,,,,219.85566325487827,1041.22004057,1494,,
323,452,Greenbank Park,Parc Greenbank,"895 Greenbank Road, Nepean","895, chemin Greenbank, Nepean",Active Recreation,Loisirs dynamiques,2,2,no/non,24,Barrhaven East,Barrhaven-Est,0,no/non,,45.28575099,-75.75494776,R-PKS-007-0384,1668471317000,,No dogs. Leashed on pathway only.,Chiens interdits. En laisse sur le sentier seulement.,403.05759917850617,4750.34449106,384,Parkette,Miniparc
324,822,Pheasant Run Park,Parc Pheasant Run,"18 Pheasant Run Drive, Nepean","18, promenade Pheasant Run, Nepean",Active Recreation,Loisirs dynamiques,0,0,no/non,3,Barrhaven West,Barrhaven-Ouest,0,no/non,,45.27851091,-75.77551186,R-PKS-016-0729,1668471701000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,281.31573694363084,2291.957254535,729,Urban Parkette,Miniparc urbain
325,1942,Open Space (Hydro Corridor),Espace ouvert (couloir de transport d'électricité),"2 Midland Crescent, Nepean","2, croissant Midland, Nepean",Passive Recreation,Loisirs passifs,4,4,no/non,9,Knoxdale-Merivale,Knoxdale-Merivale,4,no/non,,45.32226469,-75.78262312,,1668470819000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,906.1761611829095,6024.648799615,,Greenspace,Espace vert
326,1118,Paul Landry Park,Parc Paul-Landry,"3345 Uplands Drive, Ottawa","3345, promenade Uplands, Ottawa",Active Recreation,Loisirs dynamiques,0,0,no/non,16,River,Rivière,0,no/non,,45.34840824,-75.67184246,R-PKS-016-0722,1668471681000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,1007.3363888676884,25111.59274153,722,Neighbourhood Park,Parc de quartier
327,1740,Shirley's Brook Corridor,Couloir du ruisseau Shirley,"1018 Marconi Avenue, Kanata","1018, avenue Marconi, Kanata",Passive Recreation,Loisirs passifs,1,1,yes/oui,4,Kanata North,Kanata-Nord,7,no/non,,45.3598964,-75.93054799,R-PKS-013-0579,1668471767000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,4251.908018258374,61237.09689933,579,Greenspace,Espace vert
328,2146,Open Space,Espace ouvert,"48 Fortune Street, Rideau","48, rue Fortune, Rideau",Passive Recreation,Loisirs passifs,4,4,no/non,21,Rideau-Jock,Rideau-Jock,5,no/non,,45.18724095,-75.83934781,R-PKS-006-0329,1668471491000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,376.4041493618539,3321.029298655,329,Greenspace,Espace vert
329,220,Centrepointe Park,Parc Centrepointe,260 Centrepointe Drive,260 promenade Centrepointe,Active Recreation,Loisirs dynamiques,2,2,no/non,8,College,Collège,0,no/non,,45.34209094,-75.76794707,R-PKS-003-0176,1737558060000,,Dogs are not allowed in the park except on leash on pathway only.,Les chiens ne sont pas permis dans le parc sauf chiens en laisse sur le sentier seulement.,3165.378343374906,147065.20855021,176,District Park,Parc de district
330,1191,Medhurst Park,Parc Medhurst,72 Medhurst Drive / 403 Woodfield Drive,"72, promenade Medhurst / 403, promenade Woodfield",Active Recreation,Loisirs dynamiques,1,1,no/non,9,Knoxdale-Merivale,Knoxdale-Merivale,0,no/non,,45.33543208,-75.74453178,R-PKS-013-0608,1668471712000,,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,1614.9468394389528,27460.94516804,608,Neighbourhood Park,Parc de quartier
331,795,Briargreen Park,Parc Briargreen,"9 Parkfield Crescent, Nepean","9, croissant Parkfield, Nepean",Active Recreation,Loisirs dynamiques,3,3,no/non,8,College,Collège,0,no/non,,45.33751288,-75.77888235,R-PKS-002-0119,1668471085000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,1026.8985270004387,26076.739204465,119,Neighbourhood Park,Parc de quartier
332,628,Ken Ross Park,Parc Ken-Ross,"600 Longfields Drive, Nepean","600, promenade Longfields, Nepean",Active Recreation,Loisirs dynamiques,3,3,no/non,24,Barrhaven East,Barrhaven-Est,0,yes/oui,,45.28274082,-75.74199212,R-PKS-019-0875,1668471143000,,Dogs are not allowed in the park.,Les chiens ne sont pas permis dans le parc.,2362.168138713107,152808.04489392502,875,District Park,Parc de district
333,2011,Cumberland Nature Trail,Sentier de la nature de Cumberland,"2579 Brickland Drive, Cumberland","2579, promenade Brickland, Cumberland",Passive Recreation,Loisirs passifs,4,4,no/non,1,Orléans East-Cumberland,Orléans-Est-Cumberland,7,no/non,,45.50757558,-75.4163337,R-PKS-002-0120,1668472188000,,The park has not been designated. Dogs are allowed but must be on leash at all times.  Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Pas désigné. Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux.,6884.563993870365,86894.501520695,120,Greenspace,Espace vert
334,392,W.J. Bell Rotary Peace Park,Parc de la paix du Rotary Club WJ-Bell,"1751 Stittsville Main Street, Goulbourn","1751, rue Stittsville Main, Goulbourn",Passive Recreation,Loisirs passifs,0,0,no/non,6,Stittsville,Stittsville,0,yes/oui,,45.24956487,-75.91117346,R-PKS-002-0080,1668472215000,,Dogs may be off leash. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Signifie que les chiens peuvent être en liberté. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines.,1128.6310169305846,28763.379404515,80,Neighbourhood Park,Parc de quartier
335,594,Sandwell Green Park,Parc Sandwell Green,60 Leacock Drive,60 promenade Leacock,Passive Recreation,Loisirs passifs,1,1,no/non,4,Kanata North,Kanata-Nord,0,no/non,,45.32414517,-75.89937239,R-PKS-001-0016,1737559500000,1412678786000,Dogs are allowed but must be on leash at all times. Dogs must always be under the control of their handler. Dogs are prohibited from being within five (5) meters of all children's play areas and pools.,Les chiens sont permis dans le parc mais qu’ils doivent être tenus en laisse en tout temps. Les chiens doivent toujours être sous la surveillance de leurs propriétaires. Les chiens sont interdits à moins de cinq mètres des terrains de jeux et des piscines,837.9367331592443,15058.458682325001,16,Neighbourhood Park,Parc de quartier
