APPLICATION_NUMBER,APPLICATION_DATE,APPLICATION_TYPE,STATUS,STATUS_DATE,ADDRESS,WARD,LATITUDE,LONGITUDE,IS_ACTIVE,IS_APPROVED
D07-12-23-0043           ,2023-04-17,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-09-02,22 HAWTHORNE,Ward 17                            ,45.411888,-75.681726,0,1
D07-12-23-0043           ,2023-04-17,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-09-02,16 HAWTHORNE,Ward 17                            ,45.411798,-75.681935,0,1
D07-12-23-0043           ,2023-04-17,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-09-02,24 HAWTHORNE,Ward 17                            ,45.411939,-75.681583,0,1
D07-16-23-0005           ,2023-04-17,Plan of Subdivision      ,Application File Pending,2024-05-17,1495 HERON,Ward 18                            ,45.381163,-75.653476,1,0
D02-02-23-0032           ,2023-04-21,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-12-18,300 GOULBOURN FORCED,Ward 4                             ,45.331481,-75.926119,0,1
D02-02-23-0033           ,2023-04-25,Zoning By-law Amendment  ,Application Reactivated,2025-06-27,2000 CITY PARK,Ward 11                            ,45.429369,-75.61298699999999,1,0
D09-04-23-0053           ,2023-11-07,Ontario Heritage Act     ,Heritage Permit Issued,2024-01-24,149 KING GEORGE,Ward 13                            ,45.42573,-75.6581,0,1
D02-02-23-0071           ,2023-10-25,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-10-28,2050 PROVENCE,Ward 19                            ,45.461116999999994,-75.46254499999999,0,1
D07-12-23-0128           ,2023-10-25,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-06-02,294 TREMBLAY,Ward 18                            ,45.418396,-75.647548,0,1
D07-12-23-0128           ,2023-10-25,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-06-02,300 TREMBLAY,Ward 18                            ,45.418413,-75.647306,0,1
D02-02-23-0074           ,2023-11-14,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-03-04,1980 PHELAN,Ward 21                            ,45.15759,-75.70162599999999,0,1
D02-02-23-0074           ,2023-11-14,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-03-04,6445 THIRD LINE,Ward 21                            ,45.15759,-75.70162599999999,0,1
D02-02-23-0075           ,2023-11-17,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-03-18,56 CAPILANO,Ward 9                             ,45.355998,-75.734246,0,1
D07-16-23-0019           ,2023-11-21,Plan of Subdivision      ,In Appeal Period,2024-12-17,1934 STAGECOACH,Ward 20                            ,45.223833,-75.585381,1,0
D02-02-23-0070           ,2023-09-21,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-12-18,5957 FERNBANK,Ward 6                             ,45.257197999999995,-75.899855,0,1
D02-02-23-0069           ,2023-09-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-01-08,4348 DUNNING,Ward 19                            ,45.409265,-75.348186,0,1
D02-02-23-0069           ,2023-09-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-01-08,4560 DUNNING,Ward 19                            ,45.409265,-75.348186,0,1
D09-04-24-0001           ,2024-01-17,Ontario Heritage Act     ,Heritage Permit Issued,2024-04-17,253 MACKAY,Ward 13                            ,45.440737999999996,-75.683568,0,1
D02-02-24-0002           ,2024-01-19,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-03-04,780 BASELINE,Ward 9                             ,45.370611,-75.71713799999999,0,1
D07-16-22-0003           ,2022-03-07,Plan of Subdivision      ,Agreement Registered - Securities Held,2025-01-22,23 BACHMAN,Ward 23                            ,45.304055,-75.87971999999999,0,1
D02-02-22-0021           ,2022-03-04,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-06-30,2835 RIVER,Ward 20                            ,45.156974,-75.63216299999999,0,1
D07-12-22-0036           ,2022-03-07,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2023-09-19,351 SANDHILL,Ward 4                             ,45.355995,-75.928572,0,1
D07-12-22-0038           ,2022-03-10,Site Plan Control        ,Notice of Decision Sent,2025-08-05,1353 COKER,Ward 20                            ,45.259614,-75.574129,0,1
D07-12-22-0040           ,2022-03-14,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-08-09,4149 STRANDHERD,Ward 3                             ,45.264945999999995,-75.77937899999999,0,1
D07-12-22-0040           ,2022-03-14,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-08-09,4149 STRANDHERD,Ward 3                             ,45.265451999999996,-75.778435,0,1
D02-02-22-0023           ,2022-03-14,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-03-06,4149 STRANDHERD,Ward 3                             ,45.265451999999996,-75.778435,0,1
D07-12-22-0044           ,2022-03-18,Site Plan Control        ,Application File Pending,2022-07-02,1971 ST-LAURENT; BOUL,Ward 18                            ,45.398227999999996,-75.621487,1,0
D07-12-22-0044           ,2022-03-18,Site Plan Control        ,Application File Pending,2022-07-02,1975 ST-LAURENT; BOUL,Ward 18                            ,45.399048,-75.62113099999999,1,0
D07-12-22-0045           ,2022-03-22,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2023-03-06,2 BILL LEATHEM,Ward 24                            ,45.295243,-75.71478499999999,0,1
D02-02-22-0024           ,2022-03-22,Zoning By-law Amendment  ,Application File Pending,2022-08-15,2770 EAGLESON,Ward 21                            ,45.212233,-75.831598,1,0
D07-12-22-0046           ,2022-03-22,Site Plan Control        ,Draft Report Sent for Response,2024-10-21,5969 OTTAWA,Ward 21                            ,45.190295,-75.82056899999999,0,0
D02-02-22-0057           ,2022-06-14,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-10-19,7968 MARVELVILLE,Ward 20                            ,45.175262,-75.461816,0,1
D02-02-22-0057           ,2022-06-14,Zoning By-law Amendment  ,Zoning By-law in Effect,2022-10-19,3896 8TH LINE,Ward 20                            ,45.181391999999995,-75.44497199999999,0,1
D07-12-22-0101           ,2022-06-21,Site Plan Control        ,Request for Agreement Received,2025-10-17,3150 WOODROFFE,Ward 24                            ,45.280235999999995,-75.72167,1,0
D02-02-22-0089           ,2022-09-16,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-05-08,3713 NAVAN,Ward 19                            ,45.426244,-75.48799799999999,0,1
D07-12-22-0128           ,2022-08-30,Site Plan Control        ,Request for Agreement Received,2024-04-15,160 LAURIER,Ward 14                            ,45.420359,-75.69403,1,0
D07-12-22-0129           ,2022-08-30,Site Plan Control        ,Request for Agreement Received,2023-05-05,637 CUMMINGS,Ward 13                            ,45.441953,-75.639488,1,0
D07-12-22-0127           ,2022-08-29,Site Plan Control        ,Notice of Decision Sent,2024-03-22,1345 HEMLOCK,Ward 13                            ,45.453416,-75.63279399999999,0,1
D07-12-22-0132           ,2022-08-31,Site Plan Control        ,Agreement Registered - Securities Held,2025-08-19,1649 MONTREAL; CH DE,Ward 11                            ,45.446752,-75.614736,0,1
D02-02-22-0086           ,2022-08-30,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-08-10,1400 YOUVILLE,Ward 2                             ,45.462925999999996,-75.55076,0,1
D02-02-22-0086           ,2022-08-30,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-08-10,1410 YOUVILLE,Ward 2                             ,45.463311,-75.550967,0,1
D07-12-22-0130           ,2022-08-30,Site Plan Control        ,Request for Agreement Received,2023-09-12,1400 YOUVILLE,Ward 2                             ,45.462925999999996,-75.55076,1,0
D07-12-22-0130           ,2022-08-30,Site Plan Control        ,Request for Agreement Received,2023-09-12,1410 YOUVILLE,Ward 2                             ,45.463311,-75.550967,1,0
D02-02-22-0087           ,2022-09-08,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-04-03,8605 CAMPEAU,Ward 4                             ,45.296928,-75.94093099999999,0,1
D02-02-23-0034           ,2023-04-26,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-08-08,2659 RIVER,Ward 20                            ,45.168251999999995,-75.621889,0,1
D01-01-23-0005           ,2023-04-25,Official Plan Amendment  ,Application Reactivated,2025-06-27,2000 CITY PARK,Ward 11                            ,45.429369,-75.61298699999999,1,0
D01-01-23-0005           ,2023-04-25,Official Plan Amendment  ,Application Reactivated,2025-06-27,1900 CITY PARK,Ward 11                            ,45.428379,-75.61493899999999,1,0
D07-12-23-0047           ,2023-04-28,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-10-20,3080 NAVAN,Ward 19                            ,45.431306,-75.52296199999999,0,1
D07-12-23-0048           ,2023-04-28,Site Plan Control        ,Application File Pending,2024-08-16,5581 DOCTOR LEACH,Ward 21                            ,45.221489,-75.68426699999999,1,0
D07-12-23-0026           ,2023-03-03,Site Plan Control        ,Application File Pending,2024-06-25,1615 ORLEANS; BOUL D',Ward 2                             ,45.460570999999995,-75.524545,1,0
D07-12-23-0027           ,2023-03-06,Site Plan Control        ,Request for Agreement Received,2025-02-19,1826 ROBERTSON,Ward 8                             ,45.327312,-75.818028,1,0
D02-02-23-0016           ,2023-03-10,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-05-07,1274 MARYGROVE,Ward 8                             ,45.362034,-75.74523599999999,0,1
D02-02-23-0015           ,2023-03-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2023-07-06,1565 MAPLE GROVE,Ward 23                            ,45.296867,-75.909464,0,1
D02-02-23-0019           ,2023-03-13,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-01-03,575 DEALERSHIP,Ward 3                             ,45.261981999999996,-75.78631,0,1
D02-02-23-0019           ,2023-03-13,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-01-03,575 DEALERSHIP,Ward 3                             ,45.263327,-75.785123,0,1
D07-12-23-0029           ,2023-03-17,Site Plan Control        ,Initial Review Comments Sent,2024-10-17,5254 BANK,Ward 20                            ,45.289612,-75.576799,0,0
D07-12-23-0030           ,2023-03-17,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2024-04-11,3000 PALLADIUM,Ward 4                             ,45.296651999999995,-75.940649,0,1
D07-16-24-0001           ,2024-01-29,Plan of Subdivision      ,OMB Package Sent,2024-07-23,1600 STAGECOACH,Ward 20                            ,45.239627,-75.592167,0,0
D07-16-24-0001           ,2024-01-29,Plan of Subdivision      ,OMB Package Sent,2024-07-23,1618 STAGECOACH,Ward 20                            ,45.238115,-75.590654,0,0
D02-02-24-0003           ,2024-02-12,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-06-03,321 CHAPEL,Ward 12                            ,45.427035,-75.67734899999999,0,1
D02-02-24-0003           ,2024-02-12,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-06-03,315 CHAPEL,Ward 12                            ,45.427281,-75.677526,0,1
D02-02-24-0003           ,2024-02-12,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-06-03,8 BLACKBURN,Ward 12                            ,45.427281,-75.677526,0,1
D02-02-23-0076           ,2023-11-23,Zoning By-law Amendment  ,Application Approved by OMB,2025-04-29,30 CLEARY,Ward 7                             ,45.382169999999995,-75.771059,0,1
D01-01-23-0014           ,2023-11-23,Official Plan Amendment  ,Application Approved by OMB,2025-04-29,30 CLEARY,Ward 7                             ,45.382082,-75.772119,0,1
D01-01-23-0015           ,2023-11-28,Official Plan Amendment  ,Third or Subsequent By-law in Effect,2024-04-30,1180 OLD MONTREAL,Ward 14                            ,45.492109,-75.46432399999999,0,0
D01-01-23-0015           ,2023-11-28,Official Plan Amendment  ,Third or Subsequent By-law in Effect,2024-04-30,1172 OLD MONTREAL,Ward 14                            ,45.494279,-75.46649,0,0
D01-01-23-0015           ,2023-11-28,Official Plan Amendment  ,Third or Subsequent By-law in Effect,2024-04-30,1154 OLD MONTREAL,Ward 14                            ,45.492109,-75.46432399999999,0,0
D01-01-23-0015           ,2023-11-28,Official Plan Amendment  ,Third or Subsequent By-law in Effect,2024-04-30,1208 OLD MONTREAL,Ward 14                            ,45.492109,-75.46432399999999,0,0
D01-01-23-0015           ,2023-11-28,Official Plan Amendment  ,Third or Subsequent By-law in Effect,2024-04-30,481 TULLAMORE,Ward 14                            ,45.271088,-75.607008,0,0
D01-01-23-0015           ,2023-11-28,Official Plan Amendment  ,Third or Subsequent By-law in Effect,2024-04-30,240 LAMARCHE; AV DE,Ward 14                            ,45.446346999999996,-75.52481499999999,0,0
D02-02-22-0025           ,2022-03-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-08-07,70 WOODRIDGE,Ward 7                             ,45.34627,-75.813203,0,1
D02-02-22-0025           ,2022-03-24,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-08-07,80 WOODRIDGE,Ward 7                             ,45.34627,-75.813203,0,1
D09-04-24-0030           ,2024-06-07,Ontario Heritage Act     ,Heritage Permit Issued,2024-07-10,1000 EXHIBITION,Ward 17                            ,45.399013,-75.68414,0,1
D09-04-24-0030           ,2024-06-07,Ontario Heritage Act     ,Heritage Permit Issued,2024-07-10,1000 EXHIBITION,Ward 17                            ,45.399013,-75.68414,0,1
D09-04-24-0030           ,2024-06-07,Ontario Heritage Act     ,Heritage Permit Issued,2024-07-10,1000 EXHIBITION,Ward 17                            ,45.399013,-75.68414,0,1
D09-04-24-0030           ,2024-06-07,Ontario Heritage Act     ,Heritage Permit Issued,2024-07-10,1000 EXHIBITION,Ward 17                            ,45.399013,-75.68414,0,1
D07-16-24-0015           ,2024-06-14,Plan of Subdivision      ,Draft Approval Revised/Extended,2024-09-05,1240 OLD PRESCOTT,Ward 20                            ,45.261120999999996,-75.57656,0,0
D07-12-24-0037           ,2024-06-13,Site Plan Control        ,Application Approved,2025-12-18,1066 SILVER,Ward 16                            ,45.377241999999995,-75.729051,0,1
D07-12-24-0037           ,2024-06-13,Site Plan Control        ,Application Approved,2025-12-18,1305 SUMMERVILLE,Ward 16                            ,45.376925,-75.730014,0,1
D07-12-24-0038           ,2024-06-13,Site Plan Control        ,Consensus Achieved on Additional Submission,2025-10-10,2506 INNES,Ward 2                             ,45.429229,-75.569569,0,0
D07-12-24-0042           ,2024-06-17,Site Plan Control        ,Receipt of Agreement from Owner Pending,2025-04-01,280 LAURIER,Ward 12                            ,45.426401,-75.67965699999999,0,0
D01-01-24-0014           ,2024-06-19,Official Plan Amendment  ,Application File Pending,2024-08-17,1034 MCGARRY,Ward 3                             ,45.271673,-75.73933699999999,1,0
D07-05-24-0006           ,2024-06-19,Demolition Control       ,Application File Pending,2025-01-22,269 BELL,Ward 17                            ,45.404046,-75.70397299999999,1,0
D07-05-24-0006           ,2024-06-19,Demolition Control       ,Application File Pending,2025-01-22,271 BELL,Ward 17                            ,45.403991999999995,-75.703941,1,0
D07-12-24-0095           ,2024-08-27,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-06-16,14 EMPRESS,Ward 14                            ,45.413064,-75.710652,0,1
D07-12-24-0095           ,2024-08-27,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-06-16,18 EMPRESS,Ward 14                            ,45.413064,-75.710652,0,1
D07-12-24-0095           ,2024-08-27,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-06-16,19 EMPRESS,Ward 14                            ,45.413179,-75.71000000000001,0,1
D07-12-24-0095           ,2024-08-27,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-06-16,20 EMPRESS,Ward 14                            ,45.413064,-75.710652,0,1
D07-12-24-0095           ,2024-08-27,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-06-16,12 EMPRESS,Ward 14                            ,45.413064,-75.710652,0,1
D07-12-24-0100           ,2024-08-29,Site Plan Control        ,Receipt of Agreement from Owner Pending,2025-10-15,363 ENTREPRENEUR,Ward 20                            ,45.340863,-75.437084,0,0
D07-12-25-0006           ,2025-01-24,Site Plan Control        ,Agreement Registered - Securities Held,2025-10-01,1967 RIVERSIDE,Ward 18                            ,45.39712,-75.668311,0,1
D02-02-25-0003           ,2025-01-10,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-05-28,3043 DUNNING,Ward 19                            ,45.454014,-75.366478,0,1
D07-12-25-0005           ,2025-01-22,Site Plan Control        ,Additional Submission Review Required,2025-09-24,150 DUN SKIPPER,Ward 22                            ,45.310668,-75.589174,1,0
D02-02-25-0005           ,2025-01-22,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-09-29,150 DUN SKIPPER,Ward 22                            ,45.310668,-75.589174,0,1
D07-12-25-0004           ,2025-01-21,Site Plan Control        ,Notice of Decision Sent,2025-12-19,1394 GREELY,Ward 20                            ,45.25866,-75.57141299999999,0,1
D02-02-25-0006           ,2025-01-30,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-09-29,2409 CARLSEN,Ward 17                            ,45.377621999999995,-75.67522,0,1
D01-01-25-0021           ,2025-09-17,Official Plan Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7236 FLEWELLYN,Ward 21                            ,45.208424,-75.948055,1,0
D01-01-25-0021           ,2025-09-17,Official Plan Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7268 FLEWELLYN,Ward 21                            ,45.207761,-75.949176,1,0
D01-01-25-0021           ,2025-09-17,Official Plan Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7455 FLEWELLYN,Ward 21                            ,45.205886,-75.966562,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7316 FLEWELLYN,Ward 21                            ,45.204556,-75.948904,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7236 FLEWELLYN,Ward 21                            ,45.208424,-75.948055,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7301 FLEWELLYN,Ward 21                            ,45.211866,-75.956951,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7332 FLEWELLYN,Ward 21                            ,45.205039,-75.95312899999999,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7349 FALLOWFIELD,Ward 21                            ,45.195858,-75.942341,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7315 FERNBANK,Ward 21                            ,45.217633,-75.97208599999999,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,3203 CONLEY,Ward 21                            ,45.172134,-75.894139,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,3263 CONLEY,Ward 21                            ,45.170234,-75.891862,1,0
D07-05-24-0006           ,2024-06-19,Demolition Control       ,Application File Pending,2025-01-22,277 BELL,Ward 17                            ,45.403801,-75.70382699999999,1,0
D07-05-24-0006           ,2024-06-19,Demolition Control       ,Application File Pending,2025-01-22,273 BELL,Ward 17                            ,45.403954999999996,-75.703919,1,0
D07-05-24-0006           ,2024-06-19,Demolition Control       ,Application File Pending,2025-01-22,275 BELL,Ward 17                            ,45.403875,-75.70387099999999,1,0
D02-02-24-0016           ,2024-06-18,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-01-07,2928 BANK,Ward 10                            ,45.347541,-75.626116,0,1
D07-12-24-0044           ,2024-06-21,Site Plan Control        ,Agreement Registered - Securities Held,2025-07-07,200 ELGIN,Ward 14                            ,45.419208,-75.69214199999999,0,1
D02-02-24-0021           ,2024-06-26,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-10-17,1770 HEATHERINGTON,Ward 10                            ,45.376092,-75.64541299999999,0,1
D07-12-24-0045           ,2024-06-26,Site Plan Control        ,Receipt of Agreement from Owner Pending,2025-10-14,788 MARCH,Ward 4                             ,45.354907999999995,-75.930813,0,0
D02-02-24-0024           ,2024-07-05,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-12-12,1280 TRIM,Ward 1                             ,45.490300999999995,-75.47984,0,1
D02-02-24-0022           ,2024-07-04,Zoning By-law Amendment  ,Zoning By-law in Effect,2024-10-21,3029 MOODIE,Ward 21                            ,45.257732999999995,-75.79142,0,1
D07-12-24-0049           ,2024-07-04,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-11-25,283 MCLEOD,Ward 14                            ,45.412816,-75.690609,0,1
D07-12-24-0049           ,2024-07-04,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-11-25,285 MCLEOD,Ward 14                            ,45.412704,-75.690788,0,1
D07-12-24-0049           ,2024-07-04,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-11-25,285 MCLEOD,Ward 14                            ,45.412794999999996,-75.69072899999999,0,1
D02-02-25-0007           ,2025-01-31,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-04-24,6079 MCVAGH,Ward 20                            ,45.337142,-75.377094,0,1
D07-12-25-0012           ,2025-02-03,Site Plan Control        ,Request for Agreement Received,2025-07-28,2419 MER-BLEUE; CH DE LA,Ward 19                            ,45.437328,-75.492216,1,0
D07-12-25-0012           ,2025-02-03,Site Plan Control        ,Request for Agreement Received,2025-07-28,2405 MER-BLEUE; CH DE LA,Ward 19                            ,45.438289,-75.491998,1,0
D02-02-25-0008           ,2025-02-04,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-05-28,5940 BROPHY,Ward 21                            ,45.182086,-75.809041,0,1
D02-02-25-0008           ,2025-02-04,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-05-28,3325 EAGLESON,Ward 21                            ,45.187142,-75.798005,0,1
D07-12-25-0010           ,2025-01-31,Site Plan Control        ,On Circulation; Initial Submission Review,2025-12-05,110 O'CONNOR,Ward 14                            ,45.419740999999995,-75.697761,1,0
D02-02-25-0009           ,2025-02-04,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-07-23,3640 GREENBANK,Ward 3                             ,45.241893999999995,-75.75175899999999,0,1
D01-01-25-0004           ,2025-02-05,Official Plan Amendment  ,Community Information and Consultation Session Completed,2025-06-11,2030 BASELINE,Ward 8                             ,45.348524999999995,-75.761682,0,0
D07-12-25-0015           ,2025-02-05,Site Plan Control        ,Application Approved,2025-08-07,265 CARLING,Ward 17                            ,45.401207,-75.700305,0,1
D02-02-25-0012           ,2025-02-20,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-08-25,6245 PRINCE OF WALES,Ward 21                            ,45.161445,-75.708389,0,1
D07-12-25-0018           ,2025-02-21,Site Plan Control        ,Application File Pending,2025-07-18,89 SWEETLAND,Ward 12                            ,45.424062,-75.677613,1,0
D07-12-25-0018           ,2025-02-21,Site Plan Control        ,Application File Pending,2025-07-18,87 SWEETLAND,Ward 12                            ,45.424104,-75.677649,1,0
D07-12-25-0018           ,2025-02-21,Site Plan Control        ,Application File Pending,2025-07-18,91 SWEETLAND,Ward 12                            ,45.423998,-75.67755799999999,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7219 FALLOWFIELD,Ward 21                            ,45.203340999999995,-75.94235499999999,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7455 FLEWELLYN,Ward 21                            ,45.205886,-75.966562,1,0
D02-02-25-0067           ,2025-09-17,Zoning By-law Amendment  ,Comment Period has Ended/Issue Resolution,2025-11-14,7364 FLEWELLYN,Ward 21                            ,45.203922999999996,-75.952657,1,0
D02-02-25-0069           ,2025-09-19,Zoning By-law Amendment  ,Application Approved by Council,2025-12-10,1020 MARCH,Ward 4                             ,45.364294,-75.943507,0,1
D02-02-25-0069           ,2025-09-19,Zoning By-law Amendment  ,Application Approved by Council,2025-12-10,1020 MARCH,Ward 4                             ,45.364509,-75.941609,0,1
D02-02-25-0069           ,2025-09-19,Zoning By-law Amendment  ,Application Approved by Council,2025-12-10,1020 MARCH,Ward 4                             ,45.368449999999996,-75.93893899999999,0,1
D02-02-25-0069           ,2025-09-19,Zoning By-law Amendment  ,Application Approved by Council,2025-12-10,1020 MARCH,Ward 4                             ,45.368977,-75.937287,0,1
D02-02-25-0069           ,2025-09-19,Zoning By-law Amendment  ,Application Approved by Council,2025-12-10,1070 MARCH,Ward 4                             ,45.367290999999994,-75.945176,0,1
D02-02-25-0069           ,2025-09-19,Zoning By-law Amendment  ,Application Approved by Council,2025-12-10,1070 MARCH,Ward 4                             ,45.369744999999995,-75.940264,0,1
D02-02-25-0070           ,2025-09-19,Zoning By-law Amendment  ,Comment Period in Progress,2025-12-15,5880 HAZELDEAN,Ward 6                             ,45.277859,-75.919314,1,0
D02-02-25-0070           ,2025-09-19,Zoning By-law Amendment  ,Comment Period in Progress,2025-12-15,5884 HAZELDEAN,Ward 6                             ,45.277708999999994,-75.919539,1,0
D02-02-25-0070           ,2025-09-19,Zoning By-law Amendment  ,Comment Period in Progress,2025-12-15,7 SAVAGE,Ward 6                             ,45.27765,-75.91878799999999,1,0
D07-12-24-0055           ,2024-07-12,Site Plan Control        ,Notice of Decision Sent,2024-10-07,1279 COLONIAL,Ward 19                            ,45.420448,-75.42132,0,1
D07-12-24-0053           ,2024-07-11,Site Plan Control        ,Agreement Registered - Final Legal Clearance Given,2025-10-20,900 CHAPMAN MILLS,Ward 3                             ,45.264589,-75.744147,0,1
D07-12-24-0023           ,2024-04-25,Site Plan Control        ,Signed Letter of Undertaking Received,2025-02-07,145 THAD JOHNSON,Ward 10                            ,45.321676,-75.667472,0,0
D07-12-24-0026           ,2024-04-30,Site Plan Control        ,Notice of Decision Sent,2024-06-17,170 SLATER,Ward 14                            ,45.419478999999995,-75.698123,0,1
D02-02-24-0011           ,2024-05-02,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-01-02,2525 CARLING,Ward 7                             ,45.364109,-75.787263,0,1
D01-01-24-0009           ,2024-05-02,Official Plan Amendment  ,No Appeal - Official Plan Amendment Adopted,2025-01-02,1250 RICHMOND,Ward 7                             ,45.367591,-75.782245,0,1
D09-04-24-0023           ,2024-05-06,Ontario Heritage Act     ,Report in Progress,2024-05-27,17 MARIPOSA,Ward 13                            ,45.447877,-75.683286,1,0
D09-04-24-0023           ,2024-05-06,Ontario Heritage Act     ,Report in Progress,2024-05-27,17 MARIPOSA,Ward 13                            ,45.448128999999994,-75.68336,1,0
D07-12-24-0029           ,2024-05-13,Site Plan Control        ,Signed Letter of Undertaking Received,2024-10-03,2500 PALLADIUM,Ward 6                             ,45.293628999999996,-75.93220000000001,0,0
D07-12-24-0030           ,2024-05-21,Site Plan Control        ,Receipt of Agreement from Owner Pending,2025-08-29,4000 STRANDHERD,Ward 3                             ,45.265951,-75.756498,0,0
D09-04-24-0028           ,2024-05-30,Ontario Heritage Act     ,Heritage Permit Issued,2024-07-10,259 CLEMOW,Ward 17                            ,45.403678,-75.696039,0,1
D07-12-24-0123           ,2024-10-09,Site Plan Control        ,Notice of Decision Sent,2025-07-29,535 LEGGET,Ward 4                             ,45.348009,-75.91883399999999,0,1
D02-02-24-0058           ,2024-10-09,Zoning By-law Amendment  ,Zoning By-law in Effect,2025-06-30,535 LEGGET,Ward 4                             ,45.348009,-75.91883399999999,0,1
D07-12-25-0018           ,2025-02-21,Site Plan Control        ,Application File Pending,2025-07-18,85 SWEETLAND,Ward 12                            ,45.424167999999995,-75.677702,1,0
D02-02-25-0013           ,2025-02-21,Zoning By-law Amendment  ,By-law Passed - In Appeal Period,2025-12-22,91 SWEETLAND,Ward 12                            ,45.423998,-75.67755799999999,1,0
D02-02-25-0013           ,2025-02-21,Zoning By-law Amendment  ,By-law Passed - In Appeal Period,2025-12-22,83 SWEETLAND,Ward 12                            ,45.424251999999996,-75.677774,1,0
